Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
SU1673,Aeroflot,2024-02-14,15:45:35,129
WZ840,S7 Airlines,2024-02-22,08:25:43,132
U61571,Red Wings,2025-06-26,15:49:43,299
U61028,Rossiya,2025-09-04,23:32:04,184
FV11,Ural Airlines,2025-06-11,05:58:21,230
FV138,Ural Airlines,2024-02-28,16:23:00,260
WZ1333,Aeroflot,2024-05-09,10:21:38,166
S7206,Red Wings,2024-02-04,11:50:27,69
FV1967,Ural Airlines,2024-02-13,22:56:00,195
UT1951,Nordwind,2025-11-03,11:11:10,15
U6117,Ural Airlines,2024-12-10,10:49:04,179
U61873,Pobeda,2024-01-08,15:14:18,152
N4490,S7 Airlines,2024-11-25,03:03:51,139
SU725,Ural Airlines,2025-04-08,15:14:29,178
FV441,Ural Airlines,2024-08-23,08:33:19,129
WZ1490,Red Wings,2025-07-11,21:27:24,159
SU688,Red Wings,2024-10-24,16:41:05,77
S7380,Pobeda,2024-04-27,01:18:27,172
DP825,Ural Airlines,2024-02-08,02:00:23,26
SU344,Aeroflot,2025-07-23,03:28:44,155
WZ101,Ural Airlines,2025-04-05,10:01:03,137
WZ103,Pobeda,2025-07-23,22:47:33,208
N41202,S7 Airlines,2025-02-17,15:23:56,70
FV400,Aeroflot,2025-10-11,18:14:42,258
S71259,S7 Airlines,2024-11-05,14:35:48,256
DP1962,Aeroflot,2024-09-26,19:19:29,13
S7727,Ural Airlines,2024-10-03,19:26:53,29
FV524,Nordwind,2024-05-27,14:51:23,111
SU616,Red Wings,2024-11-09,15:13:46,157
UT1688,S7 Airlines,2024-01-23,08:48:25,48
S71965,S7 Airlines,2024-05-28,23:12:55,169
DP1895,Nordwind,2024-09-03,12:42:07,62
U6632,Nordwind,2025-10-26,16:51:40,276
UT1396,Rossiya,2024-10-01,23:18:08,240
N41524,Ural Airlines,2025-04-25,14:04:16,134
UT975,Aeroflot,2025-10-06,09:54:51,232
U61038,Aeroflot,2024-03-09,04:48:47,132
UT1908,Nordwind,2024-03-21,05:54:09,49
U6637,Nordwind,2024-12-03,23:15:44,80
DP1299,Pobeda,2024-09-27,11:55:26,195
U61688,Aeroflot,2025-08-26,17:21:05,18
U61637,S7 Airlines,2024-08-24,12:36:22,170
DP338,Utair,2024-05-23,11:03:03,168
SU1486,Rossiya,2025-08-27,07:22:00,55
FV475,Pobeda,2024-01-17,18:44:50,249
SU24,Pobeda,2025-04-14,21:40:56,287
N4753,Red Wings,2025-12-10,01:34:58,164
WZ853,Ural Airlines,2025-08-18,01:55:32,104
S792,Ural Airlines,2024-05-12,07:07:53,88
N41538,Aeroflot,2025-01-08,16:22:04,124
UT1288,Pobeda,2024-02-23,06:23:45,216
UT1603,Ural Airlines,2025-03-10,08:52:06,89
N41287,Pobeda,2025-04-20,12:02:19,200
U6254,Utair,2025-01-23,22:37:51,89
WZ1597,Red Wings,2025-08-17,23:17:24,153
N41086,Pobeda,2025-02-10,03:01:59,174
SU1263,Red Wings,2024-03-03,16:12:55,194
DP68,S7 Airlines,2025-03-14,15:11:10,65
SU781,Utair,2025-02-18,12:03:58,32
N4145,Utair,2024-01-22,15:45:23,4
FV1507,Ural Airlines,2024-12-18,08:24:54,112
DP476,S7 Airlines,2024-03-18,14:32:02,198
S71513,S7 Airlines,2024-08-06,00:15:23,247
UT1852,Aeroflot,2025-11-12,21:02:37,255
WZ1144,Rossiya,2025-05-23,12:35:02,184
FV342,Pobeda,2024-09-06,17:19:45,260
FV1659,Aeroflot,2024-01-12,00:32:35,277
UT594,Aeroflot,2025-04-24,21:43:04,210
UT423,Nordwind,2025-10-03,04:05:24,10
FV319,Utair,2024-02-25,11:56:54,77
FV1993,Pobeda,2025-10-17,16:33:41,253
FV611,Utair,2025-04-08,18:51:49,96
UT1400,Nordwind,2025-02-08,09:50:06,176
DP1181,Nordwind,2025-03-25,14:03:48,234
UT1318,Aeroflot,2025-01-18,13:18:49,119
WZ96,Utair,2024-01-22,00:40:45,290
DP1585,Aeroflot,2025-06-01,22:26:11,259
N4592,Pobeda,2025-11-20,19:25:27,103
S7923,Aeroflot,2024-07-07,21:45:35,148
SU802,S7 Airlines,2024-02-08,06:25:39,80
N4743,Aeroflot,2024-02-11,16:23:44,195
WZ1266,Ural Airlines,2025-03-03,03:24:08,20
N41262,Ural Airlines,2025-09-17,01:13:21,47
FV208,Rossiya,2025-11-14,06:04:57,295
U681,Utair,2024-11-10,21:43:04,103
DP460,Pobeda,2025-09-21,16:55:56,188
U6550,Aeroflot,2024-02-03,10:09:34,200
WZ1533,Ural Airlines,2024-06-21,01:24:41,31
UT1637,Utair,2024-09-01,12:35:20,232
WZ1020,Ural Airlines,2024-12-28,18:55:13,214
WZ1044,Red Wings,2025-10-20,00:30:51,185
N4872,Nordwind,2025-10-06,14:46:26,9
U61043,Pobeda,2025-06-15,05:49:10,299
UT1128,Red Wings,2025-04-18,05:37:25,146
S71092,Red Wings,2024-03-16,12:11:20,138
WZ1340,S7 Airlines,2025-07-04,01:27:24,117
UT1911,Pobeda,2024-03-03,18:50:38,84
DP1766,Utair,2025-02-28,14:50:49,221
N455,Pobeda,2025-05-27,14:25:08,103
FV141,Ural Airlines,2025-01-02,22:03:12,52
U6257,Rossiya,2025-09-06,22:12:04,24
UT266,Ural Airlines,2025-10-25,04:19:27,276
FV1245,Ural Airlines,2024-01-21,04:32:44,227
WZ1396,Nordwind,2025-05-16,08:55:04,207
UT635,Aeroflot,2024-03-10,15:20:11,264
WZ457,Red Wings,2024-06-23,06:42:48,127
WZ1046,Nordwind,2024-10-15,09:26:33,47
N4984,Pobeda,2024-01-22,12:18:52,231
UT1129,Rossiya,2024-10-14,11:26:51,279
UT1191,Utair,2024-09-18,06:59:35,150
WZ988,S7 Airlines,2024-07-08,00:10:41,228
UT153,S7 Airlines,2025-02-19,15:10:13,95
UT1605,Pobeda,2024-03-10,22:59:08,100
SU695,S7 Airlines,2024-05-01,13:58:45,160
DP1655,Nordwind,2025-12-13,14:19:33,59
N4462,Utair,2025-10-03,12:39:15,202
U61583,Rossiya,2025-08-02,10:19:19,200
WZ1175,Pobeda,2024-01-27,23:39:24,288
N4970,Nordwind,2024-01-22,15:20:58,193
U6899,Nordwind,2025-08-18,14:26:35,102
WZ884,Utair,2024-07-08,06:03:29,9
DP1305,S7 Airlines,2024-08-22,17:31:09,152
