Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
FV1035,Utair,2025-01-15,16:09:38,58
S71456,Pobeda,2024-12-24,14:28:59,12
FV1364,Red Wings,2025-10-08,07:45:22,295
DP592,Utair,2025-05-19,17:25:32,14
UT1787,Ural Airlines,2025-01-12,17:40:55,255
S71314,Utair,2025-11-10,20:19:37,216
DP1579,Pobeda,2024-02-07,11:21:16,268
UT57,Ural Airlines,2025-08-06,08:14:18,180
FV814,Aeroflot,2025-03-04,15:28:14,164
UT1539,Rossiya,2024-08-03,02:27:41,250
WZ1874,S7 Airlines,2025-10-06,08:17:43,262
SU289,Ural Airlines,2025-10-09,23:21:08,64
DP1121,Ural Airlines,2025-08-12,09:46:59,51
UT1205,Ural Airlines,2025-02-04,22:19:48,271
DP190,Rossiya,2024-05-10,19:39:52,86
FV1475,Rossiya,2025-07-02,12:57:53,76
DP292,Rossiya,2025-03-11,20:57:06,122
DP146,Rossiya,2024-01-15,09:42:05,73
UT28,Nordwind,2024-07-23,11:02:08,12
S7828,Rossiya,2025-06-24,06:56:31,211
WZ1574,S7 Airlines,2024-11-18,07:25:53,65
DP273,Nordwind,2024-04-14,17:56:55,253
DP757,Pobeda,2025-04-21,05:57:57,291
FV1763,Aeroflot,2024-09-03,22:02:25,141
S71291,Utair,2025-08-19,10:27:14,71
FV1145,Aeroflot,2024-05-25,16:27:19,241
WZ702,Pobeda,2025-12-13,18:50:41,213
N4605,Utair,2024-02-21,17:02:38,285
U61087,Pobeda,2024-03-24,06:46:15,55
DP1008,Utair,2024-04-24,21:28:35,280
DP94,Utair,2024-05-01,09:41:23,107
U61868,S7 Airlines,2025-09-11,17:10:28,167
WZ449,Red Wings,2025-09-26,12:32:43,48
WZ1867,Red Wings,2025-07-09,11:27:31,216
SU1963,Red Wings,2024-09-26,22:10:27,207
N455,S7 Airlines,2024-07-05,23:38:47,163
UT925,Nordwind,2025-02-19,13:51:54,72
U6479,Aeroflot,2024-09-01,15:41:00,133
N4787,Ural Airlines,2025-02-22,15:11:23,234
WZ142,Pobeda,2024-11-21,10:55:34,193
DP1018,Ural Airlines,2025-06-10,15:23:26,185
S7399,Pobeda,2024-05-09,17:57:14,229
SU1631,Rossiya,2025-03-05,16:29:19,257
SU1458,Pobeda,2024-10-04,01:59:19,181
DP293,S7 Airlines,2025-12-26,14:23:16,168
SU593,Aeroflot,2024-11-21,12:47:29,6
S7167,Nordwind,2024-03-09,13:01:58,212
FV1321,Red Wings,2025-07-23,01:20:46,296
WZ1276,Nordwind,2025-06-02,20:53:55,38
WZ590,Utair,2024-12-28,03:51:13,131
U61813,Ural Airlines,2024-08-22,08:11:16,218
SU544,Rossiya,2024-03-14,18:02:11,165
DP259,Red Wings,2024-09-17,02:54:23,4
FV141,Aeroflot,2025-07-06,04:15:59,133
S71038,Utair,2025-03-12,14:59:10,209
DP1370,Nordwind,2025-07-04,10:38:24,59
N41471,Utair,2025-11-26,02:13:55,194
UT1943,Utair,2025-07-14,03:30:31,273
U61873,Utair,2025-07-23,20:43:42,164
S71592,Rossiya,2025-06-09,00:05:33,230
N4214,Pobeda,2025-01-27,15:31:53,248
SU914,Aeroflot,2025-10-17,16:13:29,116
N4578,Red Wings,2024-11-02,10:21:48,259
UT307,Rossiya,2025-06-26,21:48:21,105
N41218,Red Wings,2025-01-19,04:04:00,212
U61919,Rossiya,2024-10-27,08:22:41,193
S7980,Nordwind,2025-04-04,14:47:56,247
UT203,S7 Airlines,2025-08-09,15:38:15,164
WZ27,Aeroflot,2024-09-03,21:16:07,91
N41022,Rossiya,2024-12-14,15:32:17,82
DP882,Utair,2024-03-12,10:41:09,107
U6492,Rossiya,2025-01-19,11:50:26,260
N4107,Rossiya,2024-03-04,12:51:00,77
UT644,Pobeda,2024-05-10,11:33:44,235
WZ597,Aeroflot,2025-11-07,17:12:52,116
U61682,Utair,2024-11-09,18:48:49,16
UT724,Ural Airlines,2025-08-16,06:48:34,252
S7867,Aeroflot,2025-11-12,13:07:45,200
FV1936,Nordwind,2024-10-23,12:12:31,164
N41737,Nordwind,2025-08-10,12:56:22,160
SU1764,Rossiya,2025-04-16,14:22:03,37
N41544,S7 Airlines,2024-01-11,04:18:33,8
SU1708,Aeroflot,2024-07-05,10:46:42,273
U61968,Ural Airlines,2025-10-15,23:43:39,157
FV1054,S7 Airlines,2024-02-06,07:27:12,223
S71982,Rossiya,2024-06-26,02:20:53,28
WZ693,Ural Airlines,2025-06-18,01:31:13,149
N4456,S7 Airlines,2025-06-25,02:26:52,125
UT258,Pobeda,2025-11-26,12:20:52,156
DP402,Ural Airlines,2025-03-27,23:13:31,288
FV477,Nordwind,2025-03-26,08:02:59,262
U61777,S7 Airlines,2024-12-22,01:42:17,20
N4257,Aeroflot,2024-10-03,10:38:03,274
FV1464,S7 Airlines,2024-12-24,21:02:50,30
DP895,Pobeda,2024-09-10,16:38:02,210
N4164,Nordwind,2025-04-22,10:24:18,165
SU1701,Red Wings,2024-12-17,15:41:36,294
U6639,Aeroflot,2025-02-06,23:56:48,39
DP596,Aeroflot,2024-10-22,00:17:04,62
WZ716,Aeroflot,2024-12-11,16:26:18,226
UT1896,Pobeda,2025-07-20,16:47:56,106
FV1480,S7 Airlines,2025-12-27,05:06:30,127
U61143,Ural Airlines,2025-08-09,09:02:52,279
WZ1047,Nordwind,2025-06-17,13:54:49,273
SU1325,Rossiya,2024-12-28,09:05:37,225
U6231,Pobeda,2025-11-05,23:47:44,164
WZ265,Ural Airlines,2024-05-15,10:19:24,205
S7519,Red Wings,2025-07-05,14:25:05,8
N41453,Pobeda,2025-04-22,12:06:45,179
SU86,Nordwind,2024-08-07,10:35:01,54
N41103,Nordwind,2024-02-05,22:10:29,167
DP1520,Utair,2025-06-21,23:51:35,228
U6138,Aeroflot,2025-12-23,04:09:07,197
U6792,Ural Airlines,2024-11-11,03:55:41,277
SU826,Nordwind,2024-01-14,00:16:24,297
WZ989,Rossiya,2024-04-04,19:19:21,92
U61843,Ural Airlines,2024-02-22,08:21:51,104
WZ1201,Rossiya,2024-12-21,01:22:07,245
U6257,Rossiya,2025-06-07,04:15:37,166
FV1059,Rossiya,2024-08-01,02:41:07,225
N4343,Red Wings,2024-02-28,06:26:51,262
SU610,Rossiya,2024-09-17,10:20:13,184
DP1630,Aeroflot,2025-09-05,10:23:55,86
FV1034,Utair,2025-09-14,06:20:51,230
SU1228,Red Wings,2024-12-16,09:51:49,228
WZ573,Nordwind,2024-08-06,15:34:50,9
UT1787,Utair,2025-09-21,00:58:30,196
UT737,Rossiya,2024-04-25,06:30:30,23
FV1615,S7 Airlines,2024-11-16,06:49:35,191
FV262,Red Wings,2024-01-07,09:58:50,150
N41628,Utair,2025-08-09,16:29:39,98
N4841,S7 Airlines,2025-01-14,22:52:21,66
FV299,Rossiya,2024-01-01,15:10:46,179
FV1930,Red Wings,2024-08-25,00:11:12,289
FV1975,Utair,2024-01-18,06:33:08,122
FV1953,Red Wings,2025-11-21,14:41:14,150
N4397,Nordwind,2024-11-27,00:44:21,170
SU1661,Ural Airlines,2025-01-20,15:28:22,177
S71889,S7 Airlines,2025-07-04,00:57:43,106
U61267,Ural Airlines,2024-06-15,02:03:12,235
U637,Ural Airlines,2024-12-01,10:43:07,247
WZ1343,Pobeda,2024-11-20,08:44:43,8
WZ1126,Nordwind,2025-02-22,23:27:06,122
