Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
UT1948,Red Wings,2025-07-07,21:12:42,107
S7391,Pobeda,2024-11-12,18:46:11,29
FV629,Rossiya,2025-01-20,17:51:54,129
U6120,Red Wings,2025-02-11,21:32:51,251
DP1477,Nordwind,2025-03-23,19:58:04,104
S71489,Rossiya,2025-10-01,11:33:01,22
DP1443,Aeroflot,2025-12-15,00:36:00,281
FV164,Aeroflot,2024-09-15,09:48:43,253
N4381,Red Wings,2024-09-09,16:31:31,127
SU464,Aeroflot,2024-06-23,13:09:13,282
FV1685,Rossiya,2024-07-22,19:36:11,11
N41521,Aeroflot,2025-10-06,05:27:34,237
U61853,Pobeda,2025-09-12,23:44:16,286
FV1011,Nordwind,2025-03-06,05:52:32,15
SU455,Nordwind,2025-08-26,19:25:20,36
SU108,Nordwind,2024-05-23,16:16:53,236
WZ44,Nordwind,2024-08-25,20:06:52,281
U61537,Aeroflot,2025-08-21,11:10:52,223
SU953,Ural Airlines,2024-03-14,23:09:18,166
WZ814,Red Wings,2025-08-07,21:29:31,68
UT265,Rossiya,2025-09-04,13:16:05,15
S71393,Utair,2024-06-22,06:29:15,39
UT1231,Ural Airlines,2025-07-03,02:22:04,141
U61881,Utair,2024-02-16,03:39:15,281
UT1976,S7 Airlines,2024-09-18,06:34:13,15
N41503,Ural Airlines,2024-10-12,22:08:14,185
WZ902,Aeroflot,2024-06-19,03:26:41,99
FV1754,Aeroflot,2024-04-08,15:51:10,222
DP961,Nordwind,2025-06-23,11:32:19,89
FV365,S7 Airlines,2024-05-22,07:56:34,212
WZ379,Utair,2024-08-07,07:49:14,232
U61224,Utair,2024-04-17,07:54:51,40
DP1787,Pobeda,2024-11-22,12:43:08,284
UT1719,Aeroflot,2025-12-20,22:25:28,18
U61920,Aeroflot,2024-07-21,07:19:20,83
WZ326,Rossiya,2025-11-12,00:17:55,231
FV474,Red Wings,2025-02-22,21:13:48,226
U6468,S7 Airlines,2024-06-28,05:24:25,95
UT559,Ural Airlines,2025-10-28,15:43:03,192
UT1391,Nordwind,2024-11-03,07:12:41,117
DP847,Rossiya,2024-09-15,21:35:05,20
N41127,Nordwind,2025-09-11,15:54:31,281
SU547,S7 Airlines,2024-12-28,06:46:47,195
U6781,Pobeda,2025-10-15,20:57:01,248
N4211,Utair,2024-06-21,00:36:51,190
SU1677,Pobeda,2025-04-07,19:47:39,228
S71446,Nordwind,2025-09-13,19:59:22,94
FV1457,Aeroflot,2024-02-24,15:01:46,285
WZ1214,Red Wings,2024-03-04,14:10:03,300
S7943,Aeroflot,2024-11-02,00:51:38,248
UT1715,Utair,2024-05-15,16:38:15,15
WZ109,Nordwind,2024-04-22,04:09:10,140
UT1345,Rossiya,2025-08-18,10:46:19,42
U61532,Utair,2025-08-22,04:16:49,29
U6416,Nordwind,2024-08-27,02:25:56,98
S71910,Red Wings,2024-06-17,19:32:28,169
S71953,Red Wings,2025-03-08,13:00:29,155
WZ972,Nordwind,2024-04-10,07:08:04,266
S7724,Pobeda,2024-10-08,07:52:16,230
DP164,Nordwind,2025-03-16,00:35:35,2
WZ518,Nordwind,2025-05-22,19:11:39,237
WZ792,S7 Airlines,2025-10-23,06:48:33,153
N41351,Red Wings,2024-06-27,11:54:27,178
S7817,Pobeda,2025-09-14,10:16:29,99
SU728,Aeroflot,2024-11-13,04:54:39,141
UT1919,Pobeda,2025-04-07,07:46:39,38
SU1056,Utair,2024-03-27,13:45:19,86
U61457,Pobeda,2025-05-07,20:49:41,247
U61463,Utair,2025-11-28,14:14:22,238
DP1060,Rossiya,2024-04-14,20:46:28,142
WZ1276,S7 Airlines,2025-01-15,19:19:55,8
FV856,S7 Airlines,2025-06-15,18:52:28,202
S7696,Red Wings,2025-05-08,05:03:06,224
