Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
N41097,Rossiya,2024-04-05,09:16:46,222
N4825,Red Wings,2024-05-14,19:59:38,118
DP945,Aeroflot,2025-10-19,13:10:33,70
DP570,S7 Airlines,2024-04-18,05:23:09,51
N4485,Pobeda,2024-05-25,07:07:39,235
WZ1943,Red Wings,2024-08-24,09:38:27,48
DP637,Ural Airlines,2025-04-05,21:03:30,165
N41880,Nordwind,2025-07-22,01:30:54,10
DP1326,Red Wings,2025-05-06,09:39:45,111
DP1470,Nordwind,2024-01-23,09:56:54,105
U6184,S7 Airlines,2024-06-13,15:17:50,105
N41999,Nordwind,2024-07-13,16:31:08,39
DP1242,Rossiya,2024-02-13,15:08:11,37
FV444,Nordwind,2024-03-16,17:15:54,294
DP187,Aeroflot,2025-08-13,12:16:48,228
UT979,Ural Airlines,2024-12-26,13:30:53,131
DP1575,Red Wings,2024-11-06,05:55:27,52
UT1475,Pobeda,2024-06-02,15:21:31,199
N472,Utair,2024-06-14,02:09:02,255
FV1100,Aeroflot,2024-05-20,08:30:20,249
DP1511,Nordwind,2025-04-13,12:41:49,275
DP717,Aeroflot,2025-04-01,00:14:12,272
WZ1082,Red Wings,2025-11-13,22:45:07,263
FV1498,Nordwind,2024-07-05,16:27:24,188
WZ887,S7 Airlines,2025-02-17,06:12:31,220
UT1118,S7 Airlines,2024-11-21,20:47:54,115
N41225,Pobeda,2025-12-21,22:51:29,136
UT1391,Aeroflot,2025-03-11,01:15:08,287
N4140,Aeroflot,2024-09-25,07:07:26,189
DP1345,Rossiya,2025-10-19,10:38:42,272
SU416,S7 Airlines,2024-05-21,07:22:55,101
U6493,Red Wings,2024-06-08,08:48:34,138
WZ817,Ural Airlines,2024-02-08,18:38:27,272
UT1171,Red Wings,2025-12-02,05:54:36,243
DP1750,S7 Airlines,2024-11-04,12:51:57,287
SU1129,Pobeda,2024-12-14,18:57:59,237
WZ1720,Rossiya,2025-01-10,17:47:39,96
N4460,Red Wings,2025-02-04,05:43:26,136
N4912,Red Wings,2025-08-23,13:44:24,289
FV1274,Red Wings,2025-06-10,08:25:19,9
FV1859,Red Wings,2024-03-26,15:48:14,162
DP105,Ural Airlines,2025-10-15,01:22:30,139
N41156,Nordwind,2025-07-16,00:53:24,65
UT1923,S7 Airlines,2024-09-20,16:51:21,293
U61167,S7 Airlines,2025-04-15,13:24:20,69
SU875,Red Wings,2025-07-04,17:20:27,226
UT872,Nordwind,2025-03-08,17:09:24,179
SU1736,Nordwind,2024-05-26,12:52:54,36
WZ443,Ural Airlines,2025-05-09,15:01:00,187
FV30,Rossiya,2025-12-12,06:25:12,219
S7606,Aeroflot,2024-10-21,23:46:33,246
N41588,Aeroflot,2025-01-23,21:39:36,110
SU1857,Aeroflot,2024-10-22,09:20:14,208
UT678,Rossiya,2024-08-15,16:16:53,89
U6657,Utair,2024-06-03,13:13:46,71
U6655,Utair,2024-11-13,16:30:52,162
DP6,Ural Airlines,2025-10-17,22:24:33,25
N41029,S7 Airlines,2025-06-06,17:17:03,272
SU526,Utair,2024-07-12,22:14:18,62
FV751,Pobeda,2024-01-03,18:19:35,162
WZ122,Red Wings,2025-08-24,16:06:42,49
SU355,Red Wings,2025-06-26,13:36:47,238
UT1860,Red Wings,2024-12-16,03:44:25,283
WZ237,S7 Airlines,2024-03-22,07:23:14,170
N4201,Nordwind,2024-02-08,06:55:43,102
S71149,Aeroflot,2025-03-10,05:17:49,196
U6733,Nordwind,2025-02-11,12:22:04,121
U6494,Pobeda,2025-07-06,09:17:14,95
SU1765,S7 Airlines,2025-06-16,23:58:02,105
FV811,Aeroflot,2025-04-04,16:40:18,213
WZ454,Rossiya,2025-01-20,21:47:54,266
U6763,S7 Airlines,2024-09-28,11:22:13,224
S7113,Rossiya,2024-09-23,09:18:46,68
N4884,Red Wings,2024-09-28,01:44:55,24
S7718,S7 Airlines,2024-10-23,08:24:13,115
WZ1762,S7 Airlines,2024-11-11,20:20:21,172
N4503,Aeroflot,2025-02-12,09:17:53,271
SU1779,S7 Airlines,2024-05-27,15:05:56,238
WZ298,Pobeda,2025-04-07,21:01:25,282
N472,Nordwind,2024-07-14,07:59:11,140
UT1579,Aeroflot,2024-01-24,03:20:07,89
WZ804,Pobeda,2025-12-05,22:15:13,70
U61204,Pobeda,2024-05-03,14:35:46,274
U6618,Ural Airlines,2025-05-27,22:51:28,147
SU838,Nordwind,2025-02-22,15:17:04,29
U61811,Nordwind,2025-11-22,03:21:51,230
FV1939,Utair,2025-04-15,14:56:19,8
WZ388,S7 Airlines,2025-05-20,22:10:36,277
S71860,Ural Airlines,2025-02-13,09:08:41,94
N4580,Rossiya,2025-03-25,20:30:18,94
U6288,S7 Airlines,2024-04-10,01:01:59,272
WZ144,Red Wings,2025-07-21,10:23:00,3
N41434,Nordwind,2025-12-17,00:10:27,46
DP1205,S7 Airlines,2024-02-10,23:03:43,18
S71995,Red Wings,2025-11-11,12:02:11,194
S7795,Aeroflot,2025-02-17,15:01:59,181
UT1620,Utair,2025-09-10,09:39:32,41
N4421,Utair,2025-06-25,19:49:42,282
SU336,S7 Airlines,2025-10-25,01:11:39,72
DP1882,Aeroflot,2025-09-02,15:19:38,59
S7321,Rossiya,2025-04-24,21:26:01,158
SU1102,S7 Airlines,2024-12-05,19:38:23,109
UT1893,S7 Airlines,2025-02-26,11:21:55,35
U61444,Utair,2025-04-24,00:44:35,147
S7294,Rossiya,2024-11-16,04:03:20,103
FV1486,Nordwind,2024-06-12,15:16:44,86
UT317,Nordwind,2025-12-17,08:53:46,43
S71797,Ural Airlines,2024-04-23,07:58:13,42
SU1269,Nordwind,2024-01-28,18:45:53,189
N4800,Red Wings,2024-11-20,02:04:08,284
UT1535,Aeroflot,2024-06-02,12:04:59,218
SU72,Nordwind,2024-04-12,22:31:10,53
WZ1995,Ural Airlines,2025-10-16,02:19:45,192
N458,Ural Airlines,2024-01-17,01:28:19,7
U61136,Rossiya,2024-03-28,02:04:26,203
DP1645,Pobeda,2024-07-04,18:53:18,101
FV685,Rossiya,2024-12-25,21:27:51,110
U6877,Utair,2024-03-08,19:07:41,239
FV1050,Nordwind,2024-12-09,19:55:18,239
N4435,Pobeda,2024-07-14,10:25:41,10
UT610,Rossiya,2024-06-14,19:37:48,219
SU1891,Red Wings,2025-11-20,21:46:55,262
FV359,Ural Airlines,2025-09-12,05:45:11,50
U61445,Utair,2024-08-16,12:24:53,53
SU116,Utair,2025-11-17,06:45:57,10
DP1462,Aeroflot,2024-07-18,10:46:56,25
SU1078,Ural Airlines,2024-01-04,13:13:34,285
DP273,Rossiya,2025-04-13,14:45:55,216
FV358,S7 Airlines,2024-05-22,19:57:37,86
SU1514,Nordwind,2025-01-18,16:40:09,137
SU391,Red Wings,2024-02-06,19:32:00,235
U61212,S7 Airlines,2025-01-04,10:53:25,259
SU71,Utair,2025-09-03,07:23:18,291
S7756,Rossiya,2024-11-14,17:27:59,15
FV559,Rossiya,2024-04-05,16:38:47,38
SU1668,Utair,2025-06-11,01:43:11,221
DP1554,S7 Airlines,2024-07-01,22:25:44,69
DP1736,Red Wings,2025-03-05,17:30:36,29
SU1962,Aeroflot,2025-05-12,21:29:26,245
U6844,Nordwind,2024-01-11,20:14:01,179
N41909,Pobeda,2025-02-03,06:42:17,235
UT1445,S7 Airlines,2024-12-27,10:03:58,209
DP881,S7 Airlines,2024-08-22,01:43:05,24
N41209,Ural Airlines,2024-11-16,13:38:27,223
DP179,Nordwind,2024-09-26,12:21:31,214
U61578,Ural Airlines,2025-11-10,06:57:14,122
N41411,Rossiya,2025-12-15,02:05:11,110
UT589,Ural Airlines,2024-03-08,07:54:57,174
DP1715,Ural Airlines,2024-08-23,15:12:02,8
DP334,Ural Airlines,2024-09-07,14:06:37,225
SU1814,Red Wings,2024-05-12,00:09:42,207
UT1736,Red Wings,2024-09-18,11:24:16,187
S71518,Red Wings,2025-09-04,22:42:05,24
S71214,Ural Airlines,2024-12-18,18:55:26,159
N4137,Red Wings,2025-04-28,00:03:45,248
S7323,S7 Airlines,2025-06-16,23:47:38,93
U61293,Ural Airlines,2024-04-22,17:46:17,65
S7813,S7 Airlines,2024-12-15,12:49:46,248
N41739,Rossiya,2024-07-21,13:13:53,44
DP1752,Aeroflot,2024-03-11,22:21:22,274
S776,Nordwind,2025-12-28,00:18:27,179
U61150,Aeroflot,2024-10-03,01:34:39,79
UT1869,Utair,2024-12-22,21:15:27,172
UT840,Pobeda,2024-07-22,20:25:39,84
SU1513,Aeroflot,2025-07-19,22:42:42,157
U6491,S7 Airlines,2024-01-21,06:22:26,300
DP1490,Red Wings,2024-08-19,09:06:49,133
FV649,Ural Airlines,2024-09-21,07:47:44,76
SU343,Pobeda,2024-06-21,16:27:40,24
S71522,Aeroflot,2025-11-25,05:05:44,74
UT834,Red Wings,2024-07-21,02:32:23,18
S71984,Aeroflot,2025-08-13,02:00:35,152
U61969,Pobeda,2025-11-02,15:33:28,210
SU528,Utair,2024-09-01,09:18:32,235
WZ1463,S7 Airlines,2025-09-13,05:20:57,69
WZ873,Red Wings,2024-07-10,09:29:56,243
S7956,Red Wings,2025-09-15,03:39:08,108
SU154,Pobeda,2024-03-25,19:04:54,260
DP79,S7 Airlines,2024-02-13,03:41:44,188
N4617,Red Wings,2024-09-21,10:34:36,297
U61188,Red Wings,2024-12-05,09:59:55,72
DP199,S7 Airlines,2025-08-28,22:38:39,150
U61230,S7 Airlines,2024-05-23,17:19:43,182
SU493,S7 Airlines,2024-10-07,09:54:05,194
S71123,S7 Airlines,2024-06-20,04:18:21,143
WZ216,Aeroflot,2025-09-12,22:34:54,269
SU1491,Utair,2025-07-19,16:24:15,110
UT232,Rossiya,2025-02-28,15:51:18,41
SU1727,Ural Airlines,2024-07-27,09:33:35,5
WZ914,Nordwind,2025-09-23,16:45:23,25
N41139,Utair,2025-12-03,10:37:13,89
WZ21,Utair,2025-07-27,07:50:19,111
WZ1750,Rossiya,2024-09-13,00:28:07,195
FV379,Rossiya,2025-08-07,00:26:15,229
N4172,Nordwind,2024-11-11,09:52:32,177
N41508,Ural Airlines,2024-11-17,02:47:04,47
WZ3,Pobeda,2024-03-20,13:47:30,94
SU892,Red Wings,2025-07-18,17:53:13,78
UT1051,Nordwind,2025-04-23,07:14:02,189
N4973,Aeroflot,2025-08-08,19:48:12,0
S71470,Nordwind,2025-09-02,17:53:06,191
U6921,Utair,2025-08-27,21:01:16,88
WZ1118,Ural Airlines,2025-05-21,21:34:36,271
S7634,Red Wings,2024-11-17,15:57:54,129
DP597,Nordwind,2025-06-17,06:24:04,68
DP448,Red Wings,2024-09-05,07:08:04,184
S7265,Rossiya,2025-06-22,21:33:54,156
UT251,Utair,2024-02-07,00:32:00,215
DP1284,Ural Airlines,2025-11-11,00:27:41,104
N4228,Pobeda,2025-02-23,17:41:23,55
SU13,Red Wings,2025-06-13,16:36:42,294
U6426,Aeroflot,2024-02-23,21:50:29,249
S7826,Pobeda,2024-07-24,17:41:06,295
UT470,S7 Airlines,2024-04-14,16:51:49,284
U6474,Utair,2024-11-15,11:41:50,183
FV1222,Red Wings,2025-08-27,05:07:00,181
SU1393,Red Wings,2025-07-19,21:56:54,98
UT286,Ural Airlines,2025-11-20,18:40:41,97
SU1567,Utair,2025-02-23,16:37:13,206
