Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
UT1789,Pobeda,2024-03-20,02:53:49,203
SU1559,Aeroflot,2025-01-17,21:57:40,234
U6827,Nordwind,2024-02-10,14:58:58,32
UT533,Nordwind,2025-10-07,20:37:46,172
SU1398,S7 Airlines,2024-12-01,23:06:57,71
N4805,Utair,2024-07-04,01:38:21,288
SU203,Aeroflot,2025-03-15,09:48:43,278
DP1486,Rossiya,2025-09-13,23:35:06,251
S71643,Ural Airlines,2024-01-26,04:40:35,134
S71729,S7 Airlines,2024-10-08,18:56:32,79
S71438,Red Wings,2025-04-16,18:39:57,2
SU1311,Rossiya,2025-06-14,07:05:12,289
U61878,Red Wings,2024-01-27,11:47:17,174
S71993,Aeroflot,2025-05-10,15:26:22,197
N4106,Red Wings,2025-11-17,10:58:05,82
S71144,Ural Airlines,2025-08-27,06:39:02,174
DP1521,Red Wings,2025-05-11,10:50:30,77
FV779,Pobeda,2025-06-01,11:01:35,192
U61825,S7 Airlines,2024-10-20,08:07:27,138
SU944,Utair,2025-11-23,01:42:31,220
UT872,Utair,2025-01-14,23:34:10,44
SU538,Red Wings,2025-08-02,14:27:30,65
UT1449,Rossiya,2024-02-12,02:46:05,241
DP1893,Red Wings,2024-05-22,13:08:32,17
WZ1054,Red Wings,2025-12-14,07:36:29,212
N4646,Red Wings,2024-04-20,13:27:16,204
FV225,Nordwind,2024-05-28,00:33:13,242
N41237,S7 Airlines,2025-11-07,05:47:25,247
DP1345,Red Wings,2024-03-24,21:44:02,238
S71877,Aeroflot,2024-04-06,23:09:23,245
N4308,Red Wings,2025-01-04,01:31:43,249
SU1269,Nordwind,2025-10-03,07:12:59,205
DP1400,Pobeda,2024-03-27,02:02:47,253
U61416,Nordwind,2024-04-27,08:05:19,27
DP180,S7 Airlines,2025-01-11,02:04:53,7
DP912,Pobeda,2025-12-01,10:41:45,174
N41368,S7 Airlines,2025-09-06,00:04:58,171
WZ1436,Red Wings,2025-01-17,17:24:36,284
DP1341,Pobeda,2024-05-17,15:12:19,102
UT1804,Aeroflot,2024-02-11,11:44:25,204
U61932,Aeroflot,2025-04-20,09:48:44,46
FV714,Nordwind,2025-12-22,20:44:14,65
S71999,Nordwind,2024-08-18,10:32:28,170
S71289,Ural Airlines,2025-04-01,08:45:26,205
DP1467,Nordwind,2025-03-18,16:40:16,113
N4348,Red Wings,2024-11-03,13:35:34,57
S71670,Utair,2025-06-19,20:27:08,12
WZ1263,Nordwind,2025-01-23,13:32:53,44
WZ597,Pobeda,2024-03-10,19:45:43,164
SU1174,S7 Airlines,2025-04-21,16:12:35,296
U6915,S7 Airlines,2025-10-26,22:23:35,54
FV1156,Aeroflot,2024-05-05,03:31:04,240
WZ859,Pobeda,2024-09-02,07:42:33,108
SU1378,Utair,2025-01-14,15:55:18,278
U61495,Red Wings,2025-03-21,20:06:30,205
FV498,Red Wings,2025-07-12,06:20:23,208
N4316,Nordwind,2024-11-09,23:14:46,267
DP1672,Aeroflot,2025-01-11,08:16:57,143
FV803,Pobeda,2024-12-19,02:04:36,268
DP121,Nordwind,2025-05-20,03:44:47,124
S7254,Aeroflot,2024-11-02,09:39:49,30
S71780,Red Wings,2024-07-16,04:34:46,213
SU1826,Ural Airlines,2024-10-27,09:15:03,181
N41604,Nordwind,2025-05-14,15:46:18,130
S71006,Rossiya,2025-04-23,01:19:52,18
U61916,Nordwind,2024-02-01,14:33:27,183
WZ433,Utair,2024-06-14,18:28:52,281
FV929,Ural Airlines,2025-02-09,18:26:57,186
FV1498,Ural Airlines,2024-03-26,20:45:36,199
UT1474,Aeroflot,2024-06-23,06:10:04,51
N41895,Utair,2024-04-15,17:09:56,134
DP991,S7 Airlines,2025-08-10,07:50:27,89
DP1026,Utair,2024-12-23,16:40:56,38
S795,Red Wings,2024-07-21,19:57:49,22
U61655,S7 Airlines,2025-12-08,19:12:41,65
FV1747,Aeroflot,2024-11-12,21:39:09,119
DP132,Pobeda,2025-12-12,16:21:03,88
S71608,Ural Airlines,2024-08-18,08:35:30,112
UT740,Nordwind,2025-01-22,07:50:43,201
WZ1625,S7 Airlines,2025-06-23,15:35:19,86
N4855,Ural Airlines,2025-06-23,09:08:28,20
UT1470,Ural Airlines,2024-03-01,17:47:38,79
DP1044,Rossiya,2025-03-28,12:35:07,102
WZ1345,Aeroflot,2025-04-13,12:40:30,21
N4335,S7 Airlines,2024-04-13,19:24:52,85
FV1961,Pobeda,2024-09-04,17:53:39,144
U61780,S7 Airlines,2024-04-28,06:59:27,51
FV669,Pobeda,2025-06-27,06:20:37,205
DP44,Nordwind,2025-03-09,12:50:22,68
UT783,Nordwind,2025-12-03,10:28:36,71
S71429,Nordwind,2024-12-01,14:38:07,279
WZ1095,Aeroflot,2024-05-14,16:30:09,246
FV434,S7 Airlines,2025-08-01,08:41:47,217
S71069,S7 Airlines,2024-09-03,16:14:34,140
S71379,Aeroflot,2024-06-18,20:10:48,249
U6569,Rossiya,2024-10-04,01:55:45,68
SU1697,Utair,2025-07-28,11:19:09,157
DP1404,Rossiya,2025-08-07,01:30:17,9
WZ880,Red Wings,2024-05-11,13:20:30,136
FV327,Ural Airlines,2025-09-27,02:32:18,111
WZ681,Aeroflot,2024-03-12,11:33:49,120
FV1913,Pobeda,2025-09-03,01:48:54,159
N41914,Red Wings,2024-07-10,16:08:25,21
FV678,Utair,2024-05-10,11:24:19,74
FV1843,S7 Airlines,2025-04-25,03:52:51,215
WZ1737,Utair,2024-10-04,08:51:33,264
U641,Utair,2025-01-18,11:22:00,222
UT921,Utair,2024-07-04,10:25:31,155
SU1179,Aeroflot,2025-05-23,02:43:53,5
UT1457,Rossiya,2025-09-25,23:40:13,40
UT1372,S7 Airlines,2025-08-07,18:48:13,112
S71876,Utair,2024-12-28,11:44:17,29
UT767,Utair,2025-03-07,11:33:17,64
FV1846,Nordwind,2024-08-27,19:19:54,295
UT1452,S7 Airlines,2024-03-15,23:48:22,298
UT306,Utair,2025-08-12,16:55:09,285
SU1437,Aeroflot,2024-01-08,07:09:45,78
S7668,S7 Airlines,2025-03-20,13:28:13,13
DP1577,Rossiya,2024-08-15,23:12:00,262
DP1760,Ural Airlines,2025-04-01,03:50:48,200
N4455,S7 Airlines,2024-07-04,19:30:24,52
UT888,Utair,2025-09-19,20:47:58,226
UT1379,Utair,2025-07-28,10:11:34,196
N41848,Aeroflot,2025-06-22,16:53:20,236
DP1165,Pobeda,2025-11-15,17:42:54,202
UT583,Aeroflot,2025-10-24,07:40:53,33
U6914,Pobeda,2025-05-08,09:08:46,188
FV1163,Nordwind,2024-11-06,16:32:48,105
FV1445,Rossiya,2025-07-26,17:57:40,203
S71556,Utair,2025-11-21,21:33:00,249
FV667,Rossiya,2024-02-12,21:58:50,225
U61646,Nordwind,2024-09-15,00:36:38,9
U6803,S7 Airlines,2025-09-11,15:53:45,67
S7240,S7 Airlines,2024-02-20,16:10:03,214
S71129,Rossiya,2024-06-07,08:10:57,266
WZ1146,Red Wings,2024-05-25,07:33:59,51
DP1986,Rossiya,2024-07-10,13:04:34,8
N41337,Pobeda,2024-10-19,18:16:09,159
WZ807,Pobeda,2025-07-08,14:48:59,141
WZ399,Nordwind,2025-02-15,05:55:07,109
S71938,S7 Airlines,2024-05-03,23:30:26,167
FV1688,Red Wings,2024-12-07,00:00:55,164
DP580,Nordwind,2024-08-15,22:24:30,169
SU1561,Aeroflot,2024-11-21,15:46:32,97
N4409,Red Wings,2024-08-01,13:46:59,42
U6858,Nordwind,2025-02-03,05:02:00,232
FV766,Rossiya,2024-05-17,10:00:32,173
UT845,Pobeda,2024-09-21,07:10:02,281
DP1333,Pobeda,2025-03-01,22:47:05,170
S71385,Rossiya,2025-03-27,12:29:32,188
S71135,Nordwind,2024-08-27,17:34:24,125
N427,Nordwind,2025-10-24,21:22:00,266
S7349,S7 Airlines,2025-12-23,17:02:44,76
S792,S7 Airlines,2024-01-24,11:59:31,127
S718,Utair,2025-08-09,15:29:07,67
UT1212,Utair,2024-10-10,00:30:45,2
UT870,Nordwind,2025-10-23,14:12:59,265
UT914,Ural Airlines,2024-12-13,16:50:35,244
WZ916,Red Wings,2024-08-26,22:40:58,141
SU43,Nordwind,2024-06-03,16:17:42,180
UT621,Utair,2024-09-23,21:25:41,11
N4555,Red Wings,2025-05-22,16:20:44,287
UT1570,Rossiya,2025-05-26,03:44:19,245
S71352,Utair,2024-11-25,03:13:38,187
N4729,Rossiya,2024-03-10,07:29:17,248
FV1554,Ural Airlines,2024-12-25,23:39:46,222
FV453,Aeroflot,2024-03-09,22:31:01,127
DP1711,Aeroflot,2025-01-03,04:55:36,139
N4999,Aeroflot,2024-05-18,00:46:06,22
SU1706,Utair,2024-06-22,11:48:30,9
N41841,S7 Airlines,2025-12-28,04:32:43,172
UT492,Nordwind,2025-12-21,10:36:58,90
FV1714,S7 Airlines,2025-01-23,23:17:15,192
N41359,Utair,2024-06-13,05:44:24,60
DP481,Pobeda,2025-11-24,09:45:03,114
UT1481,Pobeda,2025-11-28,20:17:30,290
FV1508,Rossiya,2024-09-15,14:45:06,106
S7508,Aeroflot,2024-02-07,19:46:36,180
SU1789,Utair,2024-05-01,15:14:47,205
N4323,S7 Airlines,2024-09-21,03:28:09,268
U61511,Pobeda,2024-06-19,11:17:03,174
UT1225,S7 Airlines,2024-03-21,04:09:42,256
S7613,Ural Airlines,2025-07-28,06:50:51,235
FV816,S7 Airlines,2024-11-16,22:30:05,288
N4861,Red Wings,2025-06-28,16:01:38,269
WZ1701,Aeroflot,2025-04-21,13:25:18,145
DP732,Nordwind,2025-05-04,22:57:12,121
SU22,Aeroflot,2025-09-02,07:47:41,8
UT355,Utair,2024-06-12,10:45:40,237
FV536,Red Wings,2025-07-10,10:08:03,202
SU755,Utair,2024-03-01,14:29:10,63
N41208,Nordwind,2025-10-07,03:08:25,9
N4106,Nordwind,2024-11-22,03:13:52,71
S71884,Pobeda,2025-09-12,02:18:53,45
U6844,Utair,2024-08-09,17:24:57,251
WZ1564,Aeroflot,2025-07-01,13:18:37,96
U6710,S7 Airlines,2024-07-27,13:21:37,77
UT45,Ural Airlines,2024-11-12,11:24:01,8
S7429,Rossiya,2025-09-19,03:45:04,80
S7982,S7 Airlines,2024-02-15,03:38:16,154
UT2,Utair,2025-07-15,15:56:00,185
UT691,Nordwind,2024-06-02,04:15:54,299
N41140,Pobeda,2024-12-10,01:23:15,290
WZ1064,Aeroflot,2024-08-02,09:30:53,259
N41047,Rossiya,2024-06-05,19:38:31,260
N41041,Nordwind,2025-11-01,15:56:43,254
DP123,Pobeda,2025-02-19,12:50:15,220
SU744,Ural Airlines,2025-03-10,06:41:39,212
FV1893,Ural Airlines,2024-01-11,20:27:59,214
N41756,Nordwind,2024-11-01,23:12:42,166
U6257,Aeroflot,2025-05-10,08:02:28,229
S7361,Rossiya,2025-05-24,02:07:44,153
N4227,Nordwind,2025-03-23,00:58:40,10
SU1615,Aeroflot,2025-09-10,22:44:05,155
U61773,Ural Airlines,2025-02-23,04:06:53,54
S71495,Pobeda,2025-08-01,12:48:33,204
N4376,Ural Airlines,2024-08-14,06:19:01,57
UT505,Ural Airlines,2024-07-19,05:08:51,131
DP1155,Aeroflot,2024-05-04,18:36:15,207
U61464,Pobeda,2025-05-16,01:12:31,77
U6444,Pobeda,2025-10-14,15:54:56,138
UT1057,Utair,2024-02-20,10:27:33,168
FV1146,Nordwind,2024-04-16,04:20:14,214
DP435,S7 Airlines,2024-08-13,00:04:08,206
SU993,Red Wings,2024-05-06,06:10:24,189
S71238,Pobeda,2024-10-17,05:06:04,26
FV1975,Aeroflot,2024-01-15,05:57:48,51
S7299,Ural Airlines,2024-11-24,13:58:12,228
SU782,Ural Airlines,2024-07-16,05:21:22,292
DP745,Aeroflot,2024-03-26,00:03:46,56
S7286,Nordwind,2024-10-07,07:25:16,93
