Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
FV1234,Ural Airlines,2025-01-19,08:54:38,198
S771,Pobeda,2024-08-16,02:44:09,241
N41237,Ural Airlines,2025-05-23,23:21:38,248
UT1947,Utair,2024-04-24,22:47:18,258
FV771,Pobeda,2024-01-10,16:21:29,125
SU1941,Pobeda,2024-07-06,11:24:53,19
SU1585,S7 Airlines,2024-03-02,15:29:37,133
U61863,Ural Airlines,2025-07-02,16:12:29,24
U6316,Rossiya,2024-12-16,19:33:04,209
DP999,Rossiya,2024-09-11,21:16:47,292
DP304,Pobeda,2025-06-16,15:45:05,190
UT944,Nordwind,2025-04-13,14:43:40,159
S7754,Ural Airlines,2025-04-25,03:07:39,213
UT16,Rossiya,2025-12-28,09:24:30,20
FV1617,Aeroflot,2024-02-10,20:35:00,131
DP858,Pobeda,2024-09-19,12:03:04,236
N416,Utair,2024-08-16,00:54:59,229
FV1744,Ural Airlines,2025-07-19,00:08:17,300
S71199,Rossiya,2025-12-10,08:12:47,162
UT1367,Nordwind,2024-07-20,15:52:39,275
WZ1263,Ural Airlines,2024-06-28,04:48:38,106
N41142,Ural Airlines,2025-05-27,17:53:47,11
SU165,Utair,2025-07-14,17:00:37,299
N41707,Ural Airlines,2025-02-17,16:10:19,9
U61328,S7 Airlines,2024-06-20,09:12:43,46
N4960,Rossiya,2025-05-26,12:11:43,155
S71381,Aeroflot,2024-02-23,19:44:28,34
FV944,Aeroflot,2024-11-09,13:08:38,66
U6979,Pobeda,2025-07-23,11:17:59,190
U61239,Nordwind,2025-10-10,11:39:18,46
SU963,Rossiya,2025-02-02,04:28:32,93
S7133,S7 Airlines,2024-10-15,19:07:48,158
DP661,Utair,2025-11-12,00:25:25,167
SU1723,Nordwind,2025-01-11,22:01:00,171
WZ1526,Utair,2025-02-15,16:29:09,226
S71598,Ural Airlines,2025-06-03,08:42:20,17
S71526,Pobeda,2025-11-22,03:21:23,39
U674,S7 Airlines,2025-06-16,17:16:37,236
N41390,Utair,2025-05-10,23:42:12,75
SU196,Nordwind,2025-06-02,06:40:04,50
DP634,Nordwind,2025-08-17,12:23:52,283
N41643,Rossiya,2024-02-17,04:37:25,120
WZ551,Pobeda,2024-03-16,12:36:02,162
FV910,Red Wings,2025-01-27,03:44:39,274
WZ1125,S7 Airlines,2024-02-11,12:22:09,66
U61283,Utair,2024-10-19,07:49:34,279
WZ1041,Red Wings,2025-02-12,22:05:01,148
N41912,Rossiya,2024-07-21,04:22:32,75
UT1712,S7 Airlines,2024-05-24,14:41:52,251
N41018,Rossiya,2025-06-21,08:09:35,232
WZ497,Utair,2025-12-27,00:59:21,92
FV1875,Utair,2024-03-13,21:20:35,129
N4620,Utair,2024-07-20,17:30:22,131
SU910,Pobeda,2025-03-26,17:31:13,174
