Номер рейса,Авиакомпания,Дата прилета,Время прилета,Число пассажиров
U61756,Pobeda,2025-04-15,03:32:04,293
WZ48,Nordwind,2025-01-13,10:11:23,28
SU662,Red Wings,2025-04-27,02:01:57,2
U61010,Pobeda,2024-08-22,12:56:57,281
UT358,Aeroflot,2025-12-26,02:59:18,184
S7721,Utair,2024-02-10,02:41:23,89
WZ801,Rossiya,2025-09-20,17:09:30,24
SU1167,Pobeda,2024-10-15,03:50:54,76
FV1181,Utair,2024-01-15,02:32:53,245
DP73,Utair,2025-09-19,12:15:52,85
UT1551,Aeroflot,2024-09-09,23:16:49,240
N41521,Ural Airlines,2025-08-17,18:32:14,87
SU476,Rossiya,2024-04-17,11:14:44,130
S7627,Ural Airlines,2024-12-17,14:54:48,277
DP1657,S7 Airlines,2024-04-26,15:32:05,250
U61201,Nordwind,2025-05-02,11:22:47,71
DP1339,S7 Airlines,2025-01-23,13:20:39,1
UT1369,Utair,2025-08-13,07:36:03,228
WZ19,Nordwind,2025-04-04,08:19:25,299
U61024,Ural Airlines,2025-08-01,22:51:53,107
DP200,Ural Airlines,2024-12-11,04:36:58,94
WZ1949,Aeroflot,2024-03-09,07:32:02,26
U61031,Ural Airlines,2025-01-05,06:40:45,51
UT1837,Pobeda,2024-11-08,16:05:25,149
WZ1380,Ural Airlines,2025-06-15,15:29:20,136
FV852,Utair,2024-12-25,11:02:38,101
N4960,Nordwind,2024-05-27,20:09:41,100
S7777,Rossiya,2025-04-01,08:58:49,289
UT1795,Pobeda,2024-11-27,01:20:34,55
FV696,Nordwind,2025-05-17,11:11:57,287
N41463,Red Wings,2025-07-17,16:03:11,143
FV776,Nordwind,2024-07-01,05:19:31,268
U6409,Aeroflot,2025-08-02,00:08:37,26
FV551,Aeroflot,2025-01-13,01:39:54,225
DP1486,Red Wings,2024-03-19,22:07:08,178
WZ1046,Ural Airlines,2024-11-12,15:31:23,238
S71981,S7 Airlines,2024-07-03,17:03:00,269
DP1731,Aeroflot,2024-04-26,01:35:29,16
N4804,Ural Airlines,2025-03-08,14:47:06,145
N41034,Utair,2025-10-07,00:35:29,266
N41301,S7 Airlines,2024-12-11,16:14:46,226
N41724,Utair,2025-07-24,14:03:23,212
FV380,Ural Airlines,2024-12-20,14:30:50,204
S71229,Pobeda,2024-08-09,13:22:50,131
U61701,Nordwind,2025-04-02,03:10:26,96
WZ917,Nordwind,2024-07-27,07:17:24,251
SU1202,Aeroflot,2025-07-16,20:19:23,87
S71030,Ural Airlines,2025-05-03,22:28:22,147
SU1494,Red Wings,2024-01-26,11:54:49,251
UT1363,Ural Airlines,2024-12-24,21:10:55,266
UT1228,Red Wings,2025-08-22,18:23:55,266
SU643,Utair,2024-01-17,14:21:55,163
UT581,Pobeda,2024-10-09,09:12:06,128
SU1572,Nordwind,2024-07-04,03:29:15,90
FV913,Red Wings,2025-04-24,20:15:34,274
SU1161,Red Wings,2024-03-08,11:36:49,280
FV544,S7 Airlines,2025-08-07,07:48:49,108
S71148,Pobeda,2025-10-22,18:08:16,161
DP1765,Aeroflot,2024-12-28,21:23:04,226
WZ1051,Rossiya,2024-09-07,21:59:03,103
DP458,Utair,2025-09-10,17:34:51,248
UT1582,Rossiya,2025-03-03,12:17:24,90
DP913,S7 Airlines,2024-04-02,08:55:10,290
WZ1401,Utair,2025-12-05,23:44:18,237
SU1202,Pobeda,2024-08-28,04:58:59,213
WZ305,Rossiya,2025-02-17,14:08:43,234
S7678,Pobeda,2024-02-24,09:22:35,265
DP967,Ural Airlines,2025-12-08,06:29:10,139
WZ1642,Ural Airlines,2025-10-12,07:35:55,52
SU588,Nordwind,2024-10-06,03:04:40,0
WZ804,S7 Airlines,2024-04-12,08:01:01,295
UT241,Rossiya,2024-07-25,08:06:01,39
FV1111,Utair,2025-05-05,20:02:17,33
N41688,S7 Airlines,2024-03-19,05:35:31,54
WZ923,Aeroflot,2024-09-01,23:36:44,242
S7506,S7 Airlines,2024-12-10,08:06:50,260
S7605,Aeroflot,2024-03-09,08:41:53,74
FV767,Ural Airlines,2024-08-17,08:05:38,54
S7832,Pobeda,2024-03-03,12:49:59,138
S71803,Rossiya,2024-10-03,07:19:22,244
SU825,Utair,2024-01-05,21:31:10,228
UT580,S7 Airlines,2024-05-18,15:48:41,289
DP1332,Pobeda,2024-01-09,20:28:22,108
U6504,Utair,2025-12-15,21:08:50,19
N4199,Pobeda,2025-06-22,18:46:20,42
SU574,Nordwind,2024-08-15,01:23:49,24
U6572,Ural Airlines,2025-09-24,20:08:18,171
FV962,Rossiya,2024-06-28,22:06:42,84
WZ382,S7 Airlines,2024-05-12,00:17:03,15
SU817,S7 Airlines,2024-12-02,18:47:14,288
SU766,Ural Airlines,2024-05-04,15:07:13,22
SU802,Utair,2024-11-05,13:29:07,99
S71834,S7 Airlines,2025-12-14,16:36:20,134
U61997,Ural Airlines,2024-10-05,22:19:39,17
FV6,Utair,2024-05-05,10:51:05,157
DP764,Rossiya,2024-07-11,05:32:21,61
DP1678,Ural Airlines,2024-01-05,07:23:14,18
FV175,Pobeda,2024-04-12,17:47:35,239
DP1056,Utair,2024-09-05,15:23:57,146
SU1470,Ural Airlines,2024-07-07,10:50:31,290
SU928,Aeroflot,2024-07-03,14:44:11,72
SU251,Rossiya,2024-05-25,10:25:28,237
S7361,Nordwind,2024-11-12,22:44:01,221
WZ114,Ural Airlines,2024-02-02,05:15:40,66
SU582,Aeroflot,2025-06-14,06:47:30,134
N4857,Pobeda,2025-04-02,21:52:47,140
S7845,Ural Airlines,2024-10-27,03:08:39,205
N4953,Utair,2025-12-21,15:08:05,108
SU917,Red Wings,2024-09-09,09:40:44,205
WZ1518,Nordwind,2024-03-22,00:47:28,213
DP131,Nordwind,2024-12-12,07:59:57,139
UT1438,Aeroflot,2025-09-25,03:40:34,280
WZ375,Ural Airlines,2025-03-23,19:49:08,151
WZ258,Utair,2024-08-11,14:50:26,260
UT484,Utair,2024-02-03,22:38:31,182
DP138,S7 Airlines,2025-11-04,13:50:24,13
WZ1121,Ural Airlines,2024-01-18,14:40:53,156
U61127,Rossiya,2024-07-28,13:54:14,78
U6225,Aeroflot,2025-02-27,20:25:14,263
SU1402,Nordwind,2024-03-10,21:41:07,223
U6955,Pobeda,2025-11-05,03:52:45,35
U6725,Utair,2025-09-02,10:08:38,219
U6407,Rossiya,2025-04-15,18:07:33,283
SU1438,Red Wings,2025-10-02,03:21:24,193
S71131,Aeroflot,2025-04-05,15:57:25,199
S71624,Ural Airlines,2024-08-24,18:49:52,239
UT1363,Utair,2024-08-13,02:05:58,163
UT639,Ural Airlines,2025-01-11,02:40:46,82
